"owner","name","url","page","npm","version","stars","downloads","install","added"
"htcqp802","dsh-knowledge-base","https://github.com/htcqp802/dsh-knowledge-base","https://awesome-dsh-plugin.com/p/htcqp802/dsh-knowledge-base/","dsh-knowledge-base","0.1.5","5","1739","dsh plugin --profile web add dsh-knowledge-base","2026-08-16"
"Hua1Q1nG","dsh-hindsight-local-optimize","https://github.com/Hua1Q1nG/dsh-hindsight-local-optimize","https://awesome-dsh-plugin.com/p/Hua1Q1nG/dsh-hindsight-local-optimize/",,,"2",,"dsh plugin --profile web add github:Hua1Q1nG/dsh-hindsight-local-optimize","2026-08-19"
"Hua1Q1nG","dsh-prompt-self","https://github.com/Hua1Q1nG/dsh-prompt-self","https://awesome-dsh-plugin.com/p/Hua1Q1nG/dsh-prompt-self/",,,"1",,"dsh plugin --profile web add github:Hua1Q1nG/dsh-prompt-self","2026-08-17"
"ICCuse","dsh-file-memory","https://github.com/ICCuse/dsh-file-memory","https://awesome-dsh-plugin.com/p/ICCuse/dsh-file-memory/",,,"0",,"dsh plugin --profile web add github:ICCuse/dsh-file-memory","2026-08-14"
"ICCuse","dsh-knowledge","https://github.com/ICCuse/dsh-knowledge","https://awesome-dsh-plugin.com/p/ICCuse/dsh-knowledge/",,,"0",,"dsh plugin --profile web add github:ICCuse/dsh-knowledge","2026-08-14"
"ICCuse","dsh-premise-guard","https://github.com/ICCuse/dsh-premise-guard","https://awesome-dsh-plugin.com/p/ICCuse/dsh-premise-guard/",,,"0",,"dsh plugin --profile web add github:ICCuse/dsh-premise-guard","2026-08-14"
"icearia0219","dsh-memory-spaces","https://github.com/icearia0219/dsh-memory-spaces","https://awesome-dsh-plugin.com/p/icearia0219/dsh-memory-spaces/","dsh-memory-spaces","0.1.0","2","413","dsh plugin --profile web add dsh-memory-spaces","2026-08-27"
"Icstick","dsh-adaptive-context","https://github.com/Icstick/dsh-adaptive-context","https://awesome-dsh-plugin.com/p/Icstick/dsh-adaptive-context/",,,"4",,"dsh plugin --profile web add github:Icstick/dsh-adaptive-context","2026-09-03"
"Icstick","dsh-inject-scheduler","https://github.com/Icstick/dsh-inject-scheduler","https://awesome-dsh-plugin.com/p/Icstick/dsh-inject-scheduler/",,,"0",,"dsh plugin --profile web add github:Icstick/dsh-inject-scheduler","2026-09-08"
"Ikalus1988","MisakaNet","https://github.com/Ikalus1988/MisakaNet","https://awesome-dsh-plugin.com/p/Ikalus1988/MisakaNet/",,,"491",,"dsh plugin --profile web add github:Ikalus1988/MisakaNet","2026-08-15"
"isheng-eqi","dsh-hermes-memory","https://github.com/isheng-eqi/dsh-hermes-memory","https://awesome-dsh-plugin.com/p/isheng-eqi/dsh-hermes-memory/","dsh-hermes-memory","1.1.10","7","2460","dsh plugin --profile web add dsh-hermes-memory","2026-08-17"
"itr-del","dsh-cue-bank","https://github.com/itr-del/dsh-cue-bank","https://awesome-dsh-plugin.com/p/itr-del/dsh-cue-bank/","dsh-cue-bank","0.1.0","1","300","dsh plugin --profile web add dsh-cue-bank","2026-08-18"
"iwtown","dsh-llm-wiki","https://github.com/iwtown/dsh-llm-wiki","https://awesome-dsh-plugin.com/p/iwtown/dsh-llm-wiki/",,,"4",,"dsh plugin --profile web add github:iwtown/dsh-llm-wiki","2026-08-29"
"jackyytche","dsh-hindsight-memory","https://github.com/jackyytche/dsh-hindsight-memory","https://awesome-dsh-plugin.com/p/jackyytche/dsh-hindsight-memory/",,,"0",,"dsh plugin --profile web add github:jackyytche/dsh-hindsight-memory","2026-09-03"
"Jesse-njx","dsh-memory","https://github.com/Jesse-njx/dsh-memory","https://awesome-dsh-plugin.com/p/Jesse-njx/dsh-memory/",,,"1",,"dsh plugin --profile web add github:Jesse-njx/dsh-memory","2026-08-14"
"jiayan-xu","dsh-memoria","https://github.com/jiayan-xu/dsh-memoria","https://awesome-dsh-plugin.com/p/jiayan-xu/dsh-memoria/",,,"3",,"dsh plugin --profile web add github:jiayan-xu/dsh-memoria","2026-08-14"
"jiayan-xu","dsh-memoria-extra","https://github.com/jiayan-xu/dsh-memoria-extra","https://awesome-dsh-plugin.com/p/jiayan-xu/dsh-memoria-extra/",,,"0",,"dsh plugin --profile web add github:jiayan-xu/dsh-memoria-extra","2026-08-14"
"jinguanghai","deepseek-harness-forge-plugins#forge-memory","https://github.com/jinguanghai/deepseek-harness-forge-plugins/tree/main/plugins/forge-memory","https://awesome-dsh-plugin.com/p/jinguanghai/deepseek-harness-forge-plugins--plugins-forge-memory/",,,"2",,"dsh plugin --profile web add github:jinguanghai/deepseek-harness-forge-plugins#path:/plugins/forge-memory","2026-08-14"
"JingxuanC","causal-memory#dsh-plugin","https://github.com/JingxuanC/causal-memory/tree/main/dsh-plugin","https://awesome-dsh-plugin.com/p/JingxuanC/causal-memory--dsh-plugin/",,,"78",,"dsh plugin --profile web add github:JingxuanC/causal-memory#path:/dsh-plugin","2026-09-07"
"jisi71","dsh-memories","https://github.com/jisi71/dsh-memories","https://awesome-dsh-plugin.com/p/jisi71/dsh-memories/","dsh-memories","0.2.1","1","1808","dsh plugin --profile web add dsh-memories","2026-08-25"
"JohnXu22786","context-pruner","https://github.com/JohnXu22786/context-pruner","https://awesome-dsh-plugin.com/p/JohnXu22786/context-pruner/",,,"0",,"dsh plugin --profile web add github:JohnXu22786/context-pruner","2026-08-16"
"JohnXu22786","memory-standard","https://github.com/JohnXu22786/memory-standard","https://awesome-dsh-plugin.com/p/JohnXu22786/memory-standard/",,,"1",,"dsh plugin --profile web add github:JohnXu22786/memory-standard","2026-08-23"
